"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2023","3,498.10","3,458.56","3,506.82","3,453.72","326.63K","0.79%"
"12-10-2023","3,470.62","3,512.50","3,516.18","3,467.43","205.52K","-1.88%"
"11-10-2023","3,537.19","3,589.90","3,589.90","3,533.08","530.68K","-0.52%"
"10-10-2023","3,555.81","3,566.34","3,576.19","3,529.06","57.94K","-0.22%"
"09-10-2023","3,563.70","3,580.11","3,605.58","3,556.59","136.19K","0.47%"
"06-10-2023","3,546.99","3,517.40","3,560.76","3,504.61","251.19K","0.87%"
"05-10-2023","3,516.52","3,486.00","3,550.71","3,481.79","64.88K","1.48%"
"04-10-2023","3,465.13","3,415.11","3,474.29","3,406.69","282.70K","0.61%"
"03-10-2023","3,444.16","3,459.64","3,463.27","3,409.63","110.75K","-0.44%"
"29-09-2023","3,459.35","3,463.51","3,495.84","3,435.10","83.50K","-0.18%"
"28-09-2023","3,465.72","3,527.15","3,529.70","3,457.44","374.58K","-1.40%"
"27-09-2023","3,515.10","3,523.23","3,539.94","3,483.70","26.35K","0.13%"
"26-09-2023","3,510.69","3,505.05","3,520.44","3,464.84","113.52K","0.16%"
"25-09-2023","3,505.10","3,527.10","3,537.98","3,488.06","84.43K","-0.70%"
"22-09-2023","3,529.79","3,507.65","3,559.58","3,492.47","32.50K","0.52%"
"21-09-2023","3,511.47","3,517.40","3,531.36","3,456.75","103.20K","-0.63%"
"20-09-2023","3,533.62","3,489.04","3,551.69","3,489.04","32.74K","0.05%"
"18-09-2023","3,532.00","3,511.47","3,545.76","3,501.77","85.88K","0.14%"
"15-09-2023","3,527.05","3,489.97","3,533.57","3,489.97","49.10K","1.14%"
"14-09-2023","3,487.17","3,495.70","3,524.90","3,474.34","24.85K","-0.18%"
"13-09-2023","3,493.45","3,490.51","3,515.44","3,473.36","36.83K","-0.42%"
"12-09-2023","3,508.19","3,414.57","3,517.25","3,413.59","102.26K","2.91%"
"11-09-2023","3,408.99","3,381.36","3,414.03","3,375.43","93.75K","1.05%"
"08-09-2023","3,373.62","3,375.38","3,393.46","3,365.63","189.88K","-0.36%"
"07-09-2023","3,385.67","3,376.26","3,391.99","3,353.78","37.77K","0.75%"
"06-09-2023","3,360.49","3,360.20","3,373.96","3,331.24","36.23K","0.06%"
"05-09-2023","3,358.53","3,348.73","3,377.29","3,337.12","41.37K","0.29%"
"04-09-2023","3,348.73","3,302.88","3,363.14","3,301.90","36.80K","1.14%"
"01-09-2023","3,310.86","3,291.12","3,320.47","3,289.16","47.39K","0.66%"
"31-08-2023","3,289.16","3,323.60","3,347.41","3,277.35","25.91K","-0.97%"
"30-08-2023","3,321.49","3,321.45","3,339.72","3,313.66","116.06K","0.37%"
"29-08-2023","3,309.34","3,307.78","3,320.86","3,297.93","63.18K","0.08%"
"28-08-2023","3,306.75","3,317.57","3,323.21","3,292.05","82.41K","-0.17%"
"25-08-2023","3,312.24","3,306.75","3,316.55","3,282.25","155.55K","-0.24%"
"24-08-2023","3,320.27","3,336.14","3,344.52","3,310.03","101.20K","-0.31%"
"23-08-2023","3,330.70","3,314.88","3,333.10","3,307.63","130.85K","0.48%"
"22-08-2023","3,314.83","3,332.96","3,341.04","3,297.93","69.82K","-0.54%"
"21-08-2023","3,332.96","3,298.91","3,340.06","3,298.86","62.02K","1.01%"
"18-08-2023","3,299.55","3,342.31","3,343.49","3,282.25","584.95K","-2.14%"
"17-08-2023","3,371.76","3,387.63","3,391.01","3,344.96","62.32K","-0.47%"
"16-08-2023","3,387.63","3,385.13","3,394.98","3,364.55","38.72K","0.22%"
"14-08-2023","3,380.08","3,355.79","3,384.64","3,341.33","88.53K","0.01%"
"11-08-2023","3,379.59","3,370.43","3,396.30","3,345.94","121.00K","0.17%"
"10-08-2023","3,373.81","3,374.40","3,385.13","3,361.62","86.00K","-0.59%"
"09-08-2023","3,393.95","3,398.85","3,398.85","3,355.74","53.05K","-0.17%"
"08-08-2023","3,399.68","3,413.40","3,416.97","3,387.19","81.77K","-0.40%"
"07-08-2023","3,413.30","3,373.37","3,417.22","3,372.39","48.56K","1.20%"
"04-08-2023","3,372.69","3,322.52","3,399.97","3,322.52","73.31K","1.25%"
"03-08-2023","3,330.95","3,355.74","3,363.28","3,299.20","89.03K","-1.19%"
"02-08-2023","3,371.07","3,348.49","3,377.00","3,345.94","59.77K","-0.30%"
"01-08-2023","3,381.06","3,339.23","3,391.01","3,339.23","28.18K","0.87%"
"31-07-2023","3,351.92","3,288.18","3,356.72","3,288.18","29.18K","1.96%"
"28-07-2023","3,287.50","3,321.30","3,321.30","3,263.64","97.34K","-1.20%"
"27-07-2023","3,327.47","3,316.59","3,341.77","3,316.59","36.19K","0.27%"
"26-07-2023","3,318.51","3,316.59","3,352.55","3,316.45","21.90K","-0.35%"
"25-07-2023","3,330.31","3,325.56","3,337.86","3,313.61","17.32K","0.14%"
"24-07-2023","3,325.56","3,305.77","3,344.37","3,302.83","71.14K","0.73%"
"21-07-2023","3,301.46","3,354.71","3,365.53","3,289.80","88.72K","-2.68%"
"20-07-2023","3,392.33","3,387.09","3,408.16","3,366.51","72.31K","-0.25%"
"19-07-2023","3,400.81","3,424.37","3,444.90","3,376.51","94.66K","-0.82%"
"18-07-2023","3,429.02","3,415.50","3,453.72","3,393.95","81.73K","0.22%"
"17-07-2023","3,421.33","3,440.98","3,477.23","3,407.18","76.51K","-0.57%"
"14-07-2023","3,440.98","3,292.35","3,452.74","3,284.26","392.06K","5.13%"
"13-07-2023","3,273.09","3,209.75","3,297.93","3,206.86","268.66K","2.47%"
"12-07-2023","3,194.27","3,208.92","3,223.81","3,184.28","31.54K","-0.36%"
"11-07-2023","3,205.68","3,227.39","3,227.39","3,195.05","82.60K","-0.01%"
