"Date","Price","Open","High","Low","Vol.","Change %"
"28-05-2019","728.10","712.00","733.45","709.80","23.86M","2.82%"
"27-05-2019","708.10","707.40","713.80","705.50","10.25M","-0.16%"
"24-05-2019","709.20","703.80","711.75","700.45","7.02M","1.16%"
"23-05-2019","701.05","715.00","716.70","697.45","7.23M","-1.23%"
"22-05-2019","709.75","710.00","718.25","707.00","5.80M","0.06%"
"21-05-2019","709.30","722.65","722.65","707.70","8.65M","-1.81%"
"20-05-2019","722.40","719.70","726.40","706.00","11.21M","-0.21%"
"17-05-2019","723.90","733.15","735.80","720.10","8.16M","-1.25%"
"16-05-2019","733.10","720.00","737.00","719.10","6.47M","2.37%"
"15-05-2019","716.10","714.90","725.20","712.60","6.67M","0.32%"
"14-05-2019","713.85","716.50","717.75","703.60","10.51M","-0.81%"
"13-05-2019","719.70","716.55","726.45","712.10","6.81M","0.40%"
"10-05-2019","716.85","720.80","726.00","715.00","8.35M","-0.58%"
"09-05-2019","721.05","719.15","730.30","715.80","7.40M","0.24%"
"08-05-2019","719.35","721.00","726.00","716.50","6.25M","-0.72%"
"07-05-2019","724.55","720.40","727.90","718.70","5.75M","0.86%"
"06-05-2019","718.40","715.00","721.80","710.65","8.86M","-0.72%"
"03-05-2019","723.60","722.90","731.00","718.20","6.35M","-0.99%"
"02-05-2019","730.80","747.00","748.40","729.50","6.35M","-2.74%"
"30-04-2019","751.35","738.00","753.80","738.00","9.92M","1.81%"
"26-04-2019","738.00","731.00","739.80","729.00","6.90M","1.30%"
"25-04-2019","728.55","736.45","737.65","727.05","8.01M","-1.07%"
"24-04-2019","736.45","728.20","737.90","724.00","8.29M","1.13%"
"23-04-2019","728.20","723.90","730.00","718.40","5.52M","0.99%"
"22-04-2019","721.05","717.05","725.75","715.00","6.46M","0.56%"
"18-04-2019","717.05","722.50","722.50","712.75","13.80M","-0.97%"
"16-04-2019","724.10","727.90","727.90","714.10","12.52M","-0.47%"
"15-04-2019","727.50","724.70","731.35","712.60","31.57M","-2.71%"
"12-04-2019","747.75","743.10","751.55","740.60","7.04M","0.68%"
"11-04-2019","742.70","751.75","751.75","740.05","8.20M","-1.33%"
"10-04-2019","752.70","764.00","766.70","751.30","7.03M","-1.04%"
"09-04-2019","760.60","770.00","773.00","758.20","6.73M","-0.87%"
"08-04-2019","767.25","763.05","770.00","755.40","4.92M","1.05%"
"05-04-2019","759.30","750.90","760.95","748.00","6.28M","1.52%"
"04-04-2019","747.90","751.40","753.80","745.10","7.69M","-0.72%"
"03-04-2019","753.30","756.00","758.50","746.80","6.90M","-0.80%"
"02-04-2019","759.40","759.00","765.80","754.60","7.28M","0.57%"
"01-04-2019","755.10","742.00","760.00","742.00","6.58M","1.51%"
"29-03-2019","743.85","743.90","747.95","740.00","6.92M","0.82%"
"28-03-2019","737.80","730.00","745.00","730.00","9.28M","1.11%"
"27-03-2019","729.70","730.00","732.30","727.15","7.39M","0.27%"
"26-03-2019","727.75","735.25","735.25","719.10","9.41M","-1.02%"
"25-03-2019","735.25","742.40","742.40","730.55","7.64M","-1.06%"
"22-03-2019","743.10","745.00","746.35","732.30","8.88M","0.56%"
"20-03-2019","738.95","727.25","742.30","727.15","13.47M","2.31%"
"19-03-2019","722.25","712.80","726.50","707.40","8.92M","1.70%"
"18-03-2019","710.20","721.55","723.70","705.35","8.07M","-1.16%"
"15-03-2019","718.55","712.00","723.75","709.60","14.64M","1.44%"
"14-03-2019","708.35","714.00","714.90","706.20","6.42M","-0.01%"
"13-03-2019","708.45","710.00","718.60","706.30","11.35M","0.21%"
"12-03-2019","706.95","709.00","714.95","705.60","12.00M","-0.60%"
"11-03-2019","711.25","713.30","718.50","709.40","9.93M","-0.15%"
"08-03-2019","712.35","722.95","722.95","710.65","7.19M","-1.47%"
"07-03-2019","722.95","734.00","734.50","720.55","5.95M","-1.30%"
"06-03-2019","732.50","736.10","736.10","727.00","6.08M","0.00%"
"05-03-2019","732.50","740.50","742.50","730.25","4.83M","-1.27%"
"01-03-2019","741.90","735.50","743.40","735.50","4.00M","1.04%"
"28-02-2019","734.30","738.70","742.40","732.30","8.56M","-0.13%"
"27-02-2019","735.25","745.00","746.40","732.75","5.94M","-0.98%"
"26-02-2019","742.50","748.60","752.60","740.15","8.32M","-1.64%"
"25-02-2019","754.90","735.55","758.00","735.55","6.55M","2.71%"
"22-02-2019","734.95","732.50","738.20","728.00","3.75M","0.20%"
"21-02-2019","733.45","738.00","738.00","727.10","7.20M","-0.98%"
"20-02-2019","740.70","727.00","743.00","726.05","5.21M","2.26%"
"19-02-2019","724.30","739.10","740.55","721.30","9.40M","-2.26%"
"18-02-2019","741.05","742.35","747.65","736.00","5.35M","-0.12%"
"15-02-2019","741.95","742.30","746.50","732.60","5.59M","0.26%"
"14-02-2019","740.05","751.00","753.00","737.25","4.61M","-1.97%"
"13-02-2019","754.90","750.10","759.70","743.65","5.05M","0.59%"
"12-02-2019","750.45","760.35","760.35","741.00","7.31M","-1.62%"
"11-02-2019","762.80","766.90","768.75","759.00","5.50M","0.25%"
"08-02-2019","760.90","760.00","772.25","754.90","5.92M","-0.41%"
"07-02-2019","764.00","763.05","769.45","761.00","3.96M","0.09%"
"06-02-2019","763.30","755.55","766.95","754.35","5.88M","1.12%"
"05-02-2019","754.85","747.00","759.95","747.00","4.69M","-0.14%"
"04-02-2019","755.90","757.00","762.50","749.20","3.95M","-0.15%"
"01-02-2019","757.05","751.35","762.50","744.50","6.28M","1.00%"
"31-01-2019","749.55","726.00","751.30","726.00","13.83M","3.26%"
"30-01-2019","725.90","727.90","734.80","721.10","5.76M","-0.27%"
"29-01-2019","727.90","725.50","732.85","716.50","6.76M","-0.01%"
"28-01-2019","727.95","731.00","732.60","719.00","7.94M","-0.33%"
"25-01-2019","730.35","728.00","737.90","724.25","5.54M","-0.23%"
"24-01-2019","732.00","728.10","736.10","721.00","7.43M","0.60%"
"23-01-2019","727.65","738.29","738.54","725.21","7.21M","-1.84%"
"22-01-2019","741.28","737.20","744.91","729.99","6.72M","0.05%"
"21-01-2019","740.93","734.16","746.89","729.99","8.13M","1.92%"
"18-01-2019","726.95","726.01","732.18","722.33","5.90M","-0.33%"
"17-01-2019","729.34","731.78","734.96","725.11","6.90M","-0.47%"
"16-01-2019","732.77","725.91","733.77","724.52","9.66M","1.40%"
"15-01-2019","722.63","703.33","726.01","703.33","19.67M","3.52%"
"14-01-2019","698.06","703.13","706.32","692.15","19.31M","2.13%"
"11-01-2019","683.50","680.20","685.50","672.50","12.28M","0.56%"
"10-01-2019","679.70","681.60","682.00","672.55","9.57M","0.53%"
"09-01-2019","676.10","686.20","689.80","664.00","18.13M","0.90%"
"08-01-2019","670.05","674.95","677.45","668.55","8.62M","-0.25%"
"07-01-2019","671.70","665.00","673.60","661.50","8.05M","1.61%"
"04-01-2019","661.05","671.75","673.90","651.00","7.89M","-1.21%"
"03-01-2019","669.15","672.00","677.00","663.10","6.83M","0.01%"
"02-01-2019","669.05","666.00","674.00","662.05","7.42M","0.60%"
"01-01-2019","665.05","660.95","666.30","654.15","2.94M","0.93%"
"31-12-2018","658.95","660.00","662.00","655.80","3.37M","0.30%"
"28-12-2018","656.95","663.35","663.50","653.30","4.74M","0.02%"
"27-12-2018","656.80","652.75","663.25","649.00","15.33M","1.98%"
"26-12-2018","644.05","647.00","647.00","637.35","6.18M","-0.76%"
"24-12-2018","649.00","657.00","658.80","647.60","8.38M","0.43%"
"21-12-2018","646.20","659.50","659.50","643.45","12.80M","-3.13%"
"20-12-2018","667.05","660.00","671.55","656.40","11.71M","0.33%"
"19-12-2018","664.85","671.55","671.55","661.10","8.30M","-1.74%"
"18-12-2018","676.60","686.50","686.50","674.55","8.02M","-2.56%"
"17-12-2018","694.40","711.85","711.85","692.75","4.78M","-1.65%"
"14-12-2018","706.05","697.45","713.70","694.40","9.56M","1.19%"
"13-12-2018","697.75","682.00","700.00","680.00","7.52M","2.84%"
"12-12-2018","678.50","677.10","680.65","670.60","6.93M","0.59%"
"11-12-2018","674.50","669.20","681.90","660.60","7.12M","0.79%"
"10-12-2018","669.20","669.90","683.80","665.20","5.12M","-1.99%"
"07-12-2018","682.80","672.00","685.75","665.60","5.55M","2.14%"
"06-12-2018","668.50","676.10","685.45","664.55","8.04M","-1.89%"
"05-12-2018","681.40","683.00","683.65","672.50","5.18M","-0.56%"
"04-12-2018","685.25","672.55","688.25","671.30","7.83M","2.22%"
"03-12-2018","670.35","673.15","679.00","665.95","8.26M","0.43%"
"30-11-2018","667.45","661.00","672.00","660.95","10.45M","0.97%"
"29-11-2018","661.05","671.00","674.90","658.80","13.40M","-0.80%"
"28-11-2018","666.40","640.95","668.70","640.00","17.72M","4.30%"
"27-11-2018","638.90","625.50","641.00","625.30","12.29M","2.81%"
"26-11-2018","621.45","621.00","628.00","599.85","15.08M","0.11%"
"22-11-2018","620.75","622.25","628.15","616.75","6.63M","0.27%"
"21-11-2018","619.10","640.00","640.05","612.10","14.36M","-3.48%"
"20-11-2018","641.40","651.70","656.00","640.10","5.38M","-1.58%"
"19-11-2018","651.70","659.00","662.00","649.25","6.02M","0.13%"
"16-11-2018","650.85","659.90","662.50","644.20","8.58M","-0.85%"
"15-11-2018","656.40","654.00","666.00","646.70","5.51M","0.49%"
"14-11-2018","653.20","665.70","665.70","640.50","7.32M","-1.88%"
"13-11-2018","665.70","663.50","667.75","656.30","4.14M","0.23%"
"12-11-2018","664.20","666.00","676.40","662.30","7.12M","0.71%"
"09-11-2018","659.50","679.00","679.00","655.50","9.69M","-2.37%"
"07-11-2018","675.50","673.00","677.50","672.00","758.96K","1.36%"
"06-11-2018","666.45","667.90","675.00","660.65","6.98M","0.07%"
"05-11-2018","666.00","663.50","668.60","657.00","5.80M","0.57%"
"02-11-2018","662.25","665.95","675.80","660.10","6.65M","-0.67%"
"01-11-2018","666.70","689.70","689.70","659.60","5.86M","-2.87%"
"31-10-2018","686.40","663.90","692.95","663.05","11.95M","4.06%"
"30-10-2018","659.60","641.10","663.80","637.45","8.79M","2.30%"
"29-10-2018","644.75","633.70","650.55","631.50","7.14M","1.76%"
"26-10-2018","633.60","645.30","648.70","629.90","5.46M","-2.34%"
"25-10-2018","648.75","643.00","656.35","636.25","8.27M","-0.16%"
"24-10-2018","649.80","663.00","666.50","647.15","7.06M","-1.19%"
"23-10-2018","657.60","675.95","682.00","653.30","9.04M","-3.29%"
"22-10-2018","679.95","688.70","695.05","673.80","6.67M","-0.53%"
"19-10-2018","683.55","687.00","687.70","678.00","10.42M","-3.09%"
"17-10-2018","705.35","710.00","721.80","701.35","20.36M","1.45%"
"16-10-2018","695.25","710.00","713.90","689.40","11.59M","-0.51%"
"15-10-2018","698.80","688.60","705.00","681.50","6.22M","2.95%"
"12-10-2018","678.80","676.40","684.05","661.50","8.91M","0.81%"
"11-10-2018","673.35","685.00","692.90","663.30","10.99M","-3.87%"
"10-10-2018","700.45","719.90","719.90","695.40","8.87M","-2.41%"
"09-10-2018","717.75","717.10","722.40","702.65","6.78M","0.46%"
"08-10-2018","714.45","725.05","728.70","709.25","7.26M","-1.40%"
"05-10-2018","724.60","713.00","731.50","709.30","8.54M","2.46%"
"04-10-2018","707.20","728.50","729.75","702.50","6.17M","-2.92%"
"03-10-2018","728.50","743.80","751.95","726.30","7.79M","-2.43%"
"01-10-2018","746.65","737.50","754.90","733.00","8.25M","2.27%"
"28-09-2018","730.05","721.00","734.55","715.20","7.49M","0.72%"
"27-09-2018","724.80","722.00","730.80","717.45","14.59M","0.97%"
"26-09-2018","717.85","731.20","731.85","712.00","6.60M","-1.15%"
"25-09-2018","726.20","718.25","736.00","717.00","9.60M","1.11%"
"24-09-2018","718.25","706.50","729.95","706.50","8.64M","1.84%"
"21-09-2018","705.30","713.85","717.40","692.00","14.35M","-2.01%"
"19-09-2018","719.75","727.00","727.00","713.20","4.85M","0.09%"
"18-09-2018","719.10","730.00","730.00","717.00","7.73M","-0.94%"
"17-09-2018","725.95","735.00","740.00","724.60","5.43M","-1.06%"
"14-09-2018","733.70","741.90","745.00","729.05","7.90M","-1.24%"
"12-09-2018","742.90","744.40","746.50","736.25","4.64M","1.17%"
"11-09-2018","734.30","735.90","744.75","732.00","6.96M","0.47%"
"10-09-2018","730.85","737.75","747.00","729.40","5.63M","-0.27%"
"07-09-2018","732.80","734.35","735.15","723.80","6.51M","0.78%"
"06-09-2018","727.15","732.55","735.50","724.10","5.60M","-0.38%"
"05-09-2018","729.90","741.95","744.05","725.40","8.66M","-0.98%"
"04-09-2018","737.15","722.00","748.50","716.00","15.37M","2.79%"
"03-09-2018","717.12","724.50","733.95","715.00","10.98M","-0.48%"
"31-08-2018","720.55","712.55","727.15","710.55","10.88M","1.76%"
"30-08-2018","708.10","706.40","710.77","698.08","11.51M","0.43%"
"29-08-2018","705.05","716.80","716.80","702.58","5.65M","-1.02%"
"28-08-2018","712.35","708.60","719.20","705.75","6.50M","0.66%"
"27-08-2018","707.70","691.50","709.98","690.70","7.01M","2.69%"
"24-08-2018","689.15","698.25","700.95","688.05","7.05M","-1.37%"
"23-08-2018","698.70","696.50","700.75","692.67","7.72M","0.97%"
"21-08-2018","691.98","695.00","698.00","686.88","8.36M","-0.02%"
"20-08-2018","692.12","694.00","703.98","686.75","16.10M","-3.22%"
"17-08-2018","715.17","715.45","718.83","711.50","6.39M","0.06%"
"16-08-2018","714.77","707.48","717.45","705.62","6.63M","1.51%"
"14-08-2018","704.15","706.98","712.27","702.00","6.15M","-0.03%"
"13-08-2018","704.38","695.00","704.92","689.35","9.98M","1.68%"
"10-08-2018","692.73","692.90","694.50","686.52","4.78M","0.40%"
"09-08-2018","689.98","686.83","694.73","686.83","6.41M","1.26%"
"08-08-2018","681.38","685.90","686.25","676.65","3.99M","-0.38%"
"07-08-2018","683.98","687.00","689.98","680.33","7.35M","0.54%"
"06-08-2018","680.33","683.02","687.50","673.75","6.18M","-0.25%"
"03-08-2018","682.05","683.10","683.10","678.00","3.97M","0.77%"
"02-08-2018","676.83","679.80","683.38","675.08","5.94M","-0.03%"
"01-08-2018","677.02","681.90","684.23","675.50","4.68M","-0.81%"
"31-07-2018","682.55","674.27","685.00","667.77","7.94M","1.04%"
"30-07-2018","675.50","685.00","686.50","674.00","6.41M","-1.64%"
"27-07-2018","686.73","686.60","694.50","684.15","6.49M","0.02%"
"26-07-2018","686.62","689.27","695.20","684.60","7.36M","-0.76%"
"25-07-2018","691.88","689.50","696.90","682.73","6.94M","0.48%"
"24-07-2018","688.58","687.20","691.20","678.00","6.17M","1.56%"
"23-07-2018","677.98","676.08","684.00","668.12","7.68M","0.58%"
"20-07-2018","674.05","663.00","683.58","660.65","11.71M","2.38%"
"19-07-2018","658.35","661.50","665.95","654.55","5.12M","-0.44%"
"18-07-2018","661.27","669.90","671.70","657.00","6.92M","-0.40%"
"17-07-2018","663.95","664.85","674.75","656.35","11.16M","-0.37%"
"16-07-2018","666.42","658.70","692.20","643.85","35.34M","1.17%"
"13-07-2018","658.70","657.50","665.80","649.17","19.50M","1.78%"
"12-07-2018","647.17","663.05","663.55","642.23","13.27M","-1.98%"
"11-07-2018","660.23","658.77","671.05","645.67","11.90M","1.46%"
"10-07-2018","650.70","654.25","657.73","647.15","5.97M","0.20%"
"09-07-2018","649.42","648.50","651.50","639.52","6.64M","1.14%"
"06-07-2018","642.12","645.12","650.92","634.50","11.22M","0.02%"
"05-07-2018","642.00","673.55","673.62","634.05","17.02M","-4.55%"
